"id","move_type","name","invoice_date","invoice_date_due","partner_id/name","partner_id/vat","ref","invoice_line_ids/sequence","invoice_line_ids/name","invoice_line_ids/account_id/code","invoice_line_ids/quantity","invoice_line_ids/price_unit","invoice_line_ids/tax_ids/id"
"__export__.account_move_sol_bill_astro1","in_invoice","INV-6707","2025-05-09","2025-05-12","AstroLabs Business Incubators","310201607400003","INV-6707","1","Co-working / Incubator Space - May 2025","600900","1","29400.00","__import__.tax_purchase_15"
"__export__.account_move_sol_bill_astro2","in_invoice","INV-9430","2026-02-13","2026-02-16","AstroLabs Business Incubators","310201607400003","INV-9430","1","Co-working / Incubator Space - Feb 2026","600900","1","10000.00",""
"__export__.account_move_sol_bill_astro3","in_invoice","INV-9616","2026-02-26","2026-03-01","AstroLabs Business Incubators","310201607400003","INV-9616","1","Co-working / Incubator Space - Mar 2026","600900","1","10000.00","__import__.tax_purchase_15"
"__export__.account_move_sol_bill_astro4","in_invoice","ASTRO-MISC-MAR26","2026-03-04","2026-03-04","AstroLabs Business Incubators","310201607400003","WARNING: No invoice on file - request from AstroLabs","1","Co-working Space misc payment - invoice pending","600900","1","260.43","__import__.tax_purchase_15"
